t,curve0,curve1,curve2,curve3,curve4,curve5
1.620000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.6400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
1.6600000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.6799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
1.700000000000001,1.0,1.0,1.0,1.0,1.0,1.0
1.7200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
1.7400000000000002,1.0,1.0,1.0,1.0,1.0,1.0
1.7599999999999998,1.0,1.0,1.0,1.0,1.0,1.0
1.7799999999999994,1.0,1.0,1.0,1.0,1.0,1.0
1.8000000000000007,1.0,1.0,1.0,1.0,1.0,1.0
1.8200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
1.8399999999999999,1.0,1.0,1.0,1.0,1.0,1.0
1.8599999999999994,1.0,1.0,1.0,0.9961124791890208,1.0,1.0
1.8800000000000008,1.0,1.0,1.0,1.0,1.0,1.0
1.9000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
1.92,1.0,1.0,1.0,1.0,1.0,1.0
1.9399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
1.9600000000000009,1.0,1.0,1.0,1.0,1.0,1.0
1.9800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
2.040000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.0600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
2.08,1.0,1.0,1.0,1.0,1.0,1.0
2.0999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
2.120000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.1400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
2.16,1.0,1.0,1.0,1.0,1.0,1.0
2.1799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
2.200000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.2200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
2.24,1.0,1.0,1.0,1.0,1.0,1.0
2.26,1.0,1.0,1.0,1.0,1.0,1.0
2.280000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.3000000000000007,1.0,1.0,1.0,1.0,1.0,1.0
2.3200000000000003,1.0,1.0,1.0,0.9958094866677801,1.0,1.0
2.34,1.0,1.0,1.0,1.0,1.0,1.0
2.3599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
2.380000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.4000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
2.42,1.0,1.0,1.0,1.0,1.0,1.0
2.4399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
2.460000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.4800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
2.5,1.0,1.0,1.0,1.0,1.0,1.0
2.5199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
2.540000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.5600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
2.58,1.0,1.0,1.0,1.0,1.0,1.0
2.5999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
2.620000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.6400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
2.66,1.0,1.0,1.0,1.0,1.0,1.0
2.6799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
2.700000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.7200000000000006,1.0,1.0,1.0,1.0,1.0,1.0
2.74,1.0,1.0,1.0,1.0,1.0,1.0
2.76,1.0,1.0,1.0,1.0,1.0,1.0
2.780000000000001,1.0,1.0,1.0,0.9957283293613578,1.0,1.0
2.8000000000000007,1.0,1.0,1.0,1.0,1.0,1.0
2.8200000000000003,1.0,1.0,1.0,1.0,1.0,1.0
2.84,1.0,1.0,1.0,1.0,1.0,1.0
2.8599999999999994,1.0,1.0,1.0,1.0,1.0,1.0
2.880000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.9000000000000004,1.0,1.0,1.0,1.0,1.0,1.0
2.92,1.0,1.0,1.0,1.0,1.0,1.0
2.9399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
2.960000000000001,1.0,1.0,1.0,1.0,1.0,1.0
2.9800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
3.040000000000001,1.0,1.0,1.0,1.0,1.0,1.0
3.0600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
3.08,1.0,1.0,1.0,1.0,1.0,1.0
3.0999999999999996,1.0,1.0,1.0,1.0,1.0,1.0
3.120000000000001,1.0,1.0,1.0,1.0,1.0,1.0
3.1400000000000006,1.0,1.0,1.0,1.0,1.0,1.0
3.16,1.0,1.0,1.0,1.0,1.0,1.0
3.1799999999999997,1.0,1.0,1.0,1.0,1.0,1.0
3.200000000000001,1.0,0.9976765385944528,1.0,1.0,1.0,1.0
3.2200000000000006,1.0,0.9963353816809496,1.0,1.0,1.0,1.0
3.24,1.0,0.9961175772291907,1.0,0.9957146271383489,1.0,1.0
3.26,1.0,0.9960167606536138,1.0,1.0,1.0,1.0
3.280000000000001,1.0,0.9959687212860877,1.0,1.0,1.0,1.0
3.3000000000000007,1.0,0.9959496690008243,1.0,1.0,1.0,1.0
3.3200000000000003,1.0,0.9959508376360822,1.0,1.0,1.0,1.0
3.34,1.0,0.9959727590532714,1.0,1.0,1.0,1.0
3.3599999999999994,1.0,0.9960255698975712,1.0,1.0,1.0,1.0
3.380000000000001,1.0,0.9961359063951521,1.0,1.0,1.0,1.0
3.4000000000000004,1.0,0.9963782611785813,1.0,1.0,1.0,1.0
3.42,1.0,0.998278656778234,1.0,1.0,1.0,1.0
3.4399999999999995,1.0,1.0,1.0,1.0,1.0,1.0
3.460000000000001,1.0,1.0,1.0,1.0,1.0,1.0
3.4800000000000004,1.0,1.0,1.0,1.0,1.0,1.0
3.5,1.0,1.0,1.0,1.0,1.0,1.0
3.5199999999999996,1.0,1.0,1.0,1.0,1.0,1.0
3.540000000000001,1.0,1.0,1.0,1.0,1.0,1.0
3.5600000000000005,1.0,1.0,1.0,1.0,1.0,1.0
